"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年7月22日","9,351.60","9,402.00","9,402.00","9,351.60","5.26K","-0.54%"
"2020年7月21日","9,402.00","9,179.20","9,434.00","9,179.20","5.40K","2.43%"
"2020年7月20日","9,179.20","9,231.20","9,231.20","9,169.70","1.40K","-0.56%"
"2020年7月19日","9,231.20","9,189.10","9,231.20","9,130.47","1.44K","0.46%"
"2020年7月18日","9,189.10","9,167.33","9,200.10","9,142.90","1.17K","0.24%"
"2020年7月17日","9,167.33","9,149.90","9,172.00","9,128.80","1.06K","0.19%"
"2020年7月16日","9,149.90","9,210.10","9,215.72","9,092.10","2.87K","-0.65%"
"2020年7月15日","9,210.10","9,263.40","9,263.40","9,195.70","0.90K","-0.58%"
"2020年7月14日","9,263.40","9,252.00","9,270.70","9,194.80","2.20K","0.12%"
"2020年7月13日","9,252.00","9,315.80","9,344.84","9,238.07","1.93K","-0.68%"
"2020年7月12日","9,315.80","9,246.30","9,315.80","9,195.60","1.86K","0.75%"
"2020年7月11日","9,246.30","9,305.70","9,305.70","9,221.80","0.81K","-0.64%"
"2020年7月10日","9,305.70","9,248.86","9,305.70","9,161.90","1.42K","0.61%"
"2020年7月9日","9,248.86","9,447.00","9,447.00","9,215.00","3.71K","-2.10%"
"2020年7月8日","9,447.00","9,267.51","9,480.72","9,267.51","3.81K","1.94%"
"2020年7月7日","9,267.51","9,361.00","9,361.00","9,255.08","1.63K","-1.00%"
"2020年7月6日","9,361.01","9,089.65","9,361.01","9,080.06","4.26K","2.99%"
"2020年7月5日","9,089.65","9,147.70","9,152.31","9,004.90","2.08K","-0.63%"
"2020年7月4日","9,147.70","9,073.90","9,203.50","9,060.00","1.13K","0.81%"
"2020年7月3日","9,073.90","9,100.00","9,135.50","9,058.10","1.09K","-0.29%"
"2020年7月2日","9,100.05","9,239.90","9,266.10","8,950.20","3.79K","-1.51%"
"2020年7月1日","9,239.90","9,150.60","9,298.00","9,109.50","2.19K","0.98%"
"2020年6月30日","9,150.60","9,194.43","9,206.46","9,077.10","1.83K","-0.48%"
"2020年6月29日","9,194.40","9,127.84","9,242.10","9,030.20","3.64K","0.73%"
"2020年6月28日","9,127.84","9,015.30","9,193.19","8,949.40","2.11K","1.25%"
"2020年6月27日","9,015.30","9,173.10","9,199.50","8,857.30","3.37K","-1.72%"
"2020年6月26日","9,173.10","9,257.04","9,299.00","9,054.10","3.69K","-0.91%"
"2020年6月25日","9,257.04","9,312.10","9,343.95","9,012.70","5.55K","-0.59%"
"2020年6月24日","9,312.10","9,635.10","9,684.10","9,222.30","5.52K","-3.35%"
"2020年6月23日","9,635.10","9,697.73","9,724.00","9,594.70","3.42K","-0.65%"
"2020年6月22日","9,697.73","9,298.13","9,794.20","9,285.20","5.88K","4.30%"
"2020年6月21日","9,298.13","9,371.30","9,431.10","9,292.10","1.34K","-0.78%"
"2020年6月20日","9,371.30","9,315.50","9,401.00","9,178.60","1.87K","0.60%"
"2020年6月19日","9,315.50","9,400.00","9,439.90","9,241.80","2.62K","-0.90%"
"2020年6月18日","9,400.00","9,473.30","9,496.40","9,287.20","1.66K","-0.77%"
"2020年6月17日","9,473.30","9,534.40","9,566.00","9,261.30","3.14K","-0.64%"
"2020年6月16日","9,534.40","9,435.00","9,589.90","9,388.10","3.44K","1.07%"
"2020年6月15日","9,433.86","9,344.75","9,510.00","8,914.90","10.16K","0.95%"
"2020年6月14日","9,345.40","9,480.88","9,486.00","9,262.00","2.69K","-1.43%"
"2020年6月13日","9,480.76","9,468.30","9,498.20","9,363.60","1.85K","0.13%"
"2020年6月12日","9,468.30","9,272.20","9,544.00","9,246.00","5.05K","2.11%"
"2020年6月11日","9,272.20","9,898.80","9,972.80","9,088.60","15.78K","-6.33%"
"2020年6月10日","9,898.80","9,771.90","10,004.05","9,699.33","4.46K","1.31%"
"2020年6月9日","9,770.80","9,784.40","9,875.90","9,582.10","3.40K","-0.13%"
"2020年6月8日","9,783.20","9,747.10","9,800.00","9,650.40","2.36K","0.38%"
"2020年6月7日","9,746.26","9,668.40","9,814.00","9,402.30","4.71K","0.81%"
"2020年6月6日","9,668.40","9,620.40","9,733.05","9,552.61","1.95K","0.50%"
"2020年6月5日","9,620.51","9,790.70","9,861.80","9,620.51","3.62K","-1.74%"
"2020年6月4日","9,790.70","9,672.01","9,882.10","9,477.00","4.28K","1.23%"
"2020年6月3日","9,672.01","9,530.00","9,684.00","9,400.00","2.66K","1.49%"
"2020年6月2日","9,530.00","10,221.00","10,242.00","9,197.40","21.47K","-6.76%"
"2020年6月1日","10,221.00","9,452.13","10,390.00","9,421.76","13.43K","8.13%"
"2020年5月31日","9,452.10","9,706.40","9,707.20","9,402.60","3.69K","-2.62%"
"2020年5月30日","9,706.40","9,426.20","9,742.00","9,338.00","6.16K","2.97%"
"2020年5月29日","9,426.20","9,589.30","9,618.50","9,352.30","3.88K","-1.70%"
"2020年5月28日","9,589.30","9,210.30","9,629.58","9,121.70","7.63K","4.11%"
"2020年5月27日","9,210.30","8,845.50","9,225.00","8,822.80","5.46K","4.12%"
"2020年5月26日","8,845.50","8,902.00","9,013.29","8,705.03","3.94K","-0.63%"
"2020年5月25日","8,902.00","8,711.50","8,960.80","8,628.60","5.61K","2.19%"
"2020年5月24日","8,711.50","9,174.59","9,300.00","8,700.00","6.73K","-5.05%"
"2020年5月23日","9,174.59","9,162.40","9,304.00","9,088.60","2.45K","0.13%"
"2020年5月22日","9,162.40","9,059.50","9,257.30","8,935.50","3.83K","1.14%"
"2020年5月21日","9,059.50","9,502.00","9,564.00","8,821.40","11.34K","-4.66%"
"2020年5月20日","9,502.00","9,770.10","9,840.60","9,305.10","9.60K","-2.74%"
"2020年5月19日","9,770.10","9,714.83","9,877.53","9,470.20","5.59K","0.57%"
"2020年5月18日","9,714.83","9,668.20","9,941.10","9,462.40","9.20K","0.48%"
"2020年5月17日","9,668.20","9,387.95","9,877.70","9,334.20","9.66K","2.98%"
"2020年5月16日","9,388.00","9,313.30","9,580.00","9,224.00","4.16K","0.80%"
"2020年5月15日","9,313.30","9,790.95","9,836.50","9,133.60","11.34K","-4.88%"
"2020年5月14日","9,791.00","9,312.00","9,937.80","9,267.51","12.87K","5.14%"
"2020年5月13日","9,312.00","8,811.40","9,403.20","8,799.50","9.89K","5.68%"
"2020年5月12日","8,811.40","8,555.00","8,967.00","8,526.60","5.65K","3.00%"
"2020年5月11日","8,555.00","8,726.00","9,135.79","8,211.10","20.56K","-1.96%"
"2020年5月10日","8,726.00","9,537.70","9,557.50","8,107.40","26.50K","-8.51%"
"2020年5月9日","9,537.90","9,792.20","9,900.00","9,499.00","8.26K","-2.60%"
"2020年5月8日","9,792.80","9,991.01","10,025.00","9,713.80","12.20K","-1.87%"
"2020年5月7日","9,979.60","9,150.40","10,045.00","9,050.00","19.87K","8.97%"
"2020年5月6日","9,157.90","9,020.00","9,415.10","8,918.30","8.73K","1.53%"
"2020年5月5日","9,020.10","8,871.20","9,119.80","8,770.90","7.71K","1.74%"
"2020年5月4日","8,865.80","8,901.60","8,959.00","8,535.00","9.32K","-0.38%"
"2020年5月3日","8,899.77","8,982.30","9,198.00","8,738.50","9.72K","-0.92%"
"2020年5月2日","8,982.30","8,822.90","8,999.00","8,763.00","5.09K","1.81%"
"2020年5月1日","8,822.89","8,630.80","9,069.90","8,630.80","7.92K","2.17%"
"2020年4月30日","8,635.30","8,773.80","9,438.80","8,416.00","29.83K","-1.57%"
"2020年4月29日","8,773.25","7,750.70","8,918.00","7,706.08","30.21K","13.12%"
"2020年4月28日","7,755.80","7,777.60","7,777.70","7,658.60","5.62K","-0.28%"
"2020年4月27日","7,777.70","7,698.00","7,777.70","7,623.37","6.90K","1.05%"
"2020年4月26日","7,697.10","7,538.51","7,697.10","7,487.00","5.32K","2.10%"
"2020年4月25日","7,538.50","7,508.40","7,700.00","7,450.10","5.17K","0.42%"
"2020年4月24日","7,506.80","7,499.00","7,614.00","7,428.30","8.80K","0.15%"
"2020年4月23日","7,495.20","7,133.30","7,744.90","7,047.40","16.38K","5.08%"
"2020年4月22日","7,133.00","6,849.94","7,164.00","6,826.20","5.15K","4.13%"
"2020年4月21日","6,850.00","6,835.00","6,955.60","6,770.70","6.46K","0.12%"
"2020年4月20日","6,841.88","7,133.40","7,235.00","6,767.11","9.96K","-4.09%"
"2020年4月19日","7,133.30","7,268.80","7,285.40","7,058.70","4.74K","-1.87%"
"2020年4月18日","7,269.10","7,045.90","7,300.10","7,044.90","5.20K","3.17%"
"2020年4月17日","7,045.81","7,114.70","7,158.90","7,013.40","4.68K","-0.97%"
"2020年4月16日","7,114.93","6,629.10","7,200.00","6,500.40","17.75K","7.25%"
"2020年4月15日","6,633.80","6,874.00","6,938.40","6,621.29","6.01K","-3.47%"
"2020年4月14日","6,872.40","6,847.90","6,984.90","6,762.90","4.30K","0.35%"
"2020年4月13日","6,848.70","6,916.50","6,916.50","6,576.50","12.68K","-0.93%"
"2020年4月12日","6,913.00","6,884.50","7,192.20","6,797.60","8.89K","0.41%"
"2020年4月11日","6,884.50","6,874.30","6,954.40","6,780.00","4.07K","0.13%"
"2020年4月10日","6,875.50","7,293.70","7,305.76","6,756.40","15.84K","-5.73%"
"2020年4月9日","7,293.50","7,367.10","7,370.70","7,117.01","7.75K","-1.00%"
"2020年4月8日","7,367.00","7,203.00","7,420.00","7,155.77","8.18K","2.28%"
"2020年4月7日","7,203.00","7,340.20","7,452.00","7,088.00","11.99K","-1.95%"
"2020年4月6日","7,346.00","6,780.20","7,350.10","6,779.90","14.59K","8.38%"
"2020年4月5日","6,778.00","6,880.60","6,914.70","6,693.40","5.65K","-1.51%"
"2020年4月4日","6,881.60","6,738.50","7,010.80","6,660.03","7.12K","2.09%"
"2020年4月3日","6,740.80","6,810.70","7,048.10","6,624.60","9.97K","-1.14%"
"2020年4月2日","6,818.30","6,685.70","7,263.30","6,591.30","20.08K","2.15%"
"2020年4月1日","6,675.00","6,429.00","6,714.60","6,180.00","11.23K","3.85%"
"2020年3月31日","6,427.68","6,409.10","6,536.00","6,350.00","5.75K","0.31%"
"2020年3月30日","6,407.60","5,893.70","6,627.10","5,880.90","12.38K","8.74%"
"2020年3月29日","5,892.60","6,252.30","6,279.60","5,892.60","11.22K","-5.71%"
"2020年3月28日","6,249.30","6,366.00","6,366.00","6,061.40","12.96K","-1.89%"
"2020年3月27日","6,370.00","6,755.00","6,856.00","6,277.80","11.08K","-5.64%"
"2020年3月26日","6,750.70","6,688.20","6,790.10","6,536.90","6.73K","0.93%"
"2020年3月25日","6,688.20","6,762.00","6,968.00","6,449.90","13.79K","-1.09%"
"2020年3月24日","6,762.00","6,491.20","6,838.50","6,406.10","16.62K","4.17%"
"2020年3月23日","6,491.20","5,820.10","6,652.40","5,682.70","19.55K","11.40%"
"2020年3月22日","5,827.05","6,202.70","6,410.60","5,757.30","16.28K","-6.04%"
"2020年3月21日","6,201.80","6,211.10","6,461.00","5,884.70","12.94K","-0.06%"
"2020年3月20日","6,205.80","6,173.50","6,897.00","5,687.60","31.08K","0.52%"
"2020年3月19日","6,173.40","5,417.10","6,412.61","5,266.42","31.25K","13.98%"
"2020年3月18日","5,416.20","5,339.00","5,452.70","5,033.90","21.13K","1.33%"
"2020年3月17日","5,345.20","5,068.30","5,564.20","4,964.40","19.60K","5.67%"
"2020年3月16日","5,058.50","5,381.90","5,381.90","4,468.00","41.78K","-6.03%"
"2020年3月15日","5,383.20","5,217.10","5,984.20","5,133.00","22.62K","3.16%"
"2020年3月14日","5,218.20","5,621.80","5,673.20","5,099.00","18.64K","-7.24%"
"2020年3月13日","5,625.40","4,873.10","5,965.30","4,001.00","102.82K","14.17%"
"2020年3月12日","4,927.00","7,975.30","8,001.70","4,612.10","116.68K","-38.18%"
"2020年3月11日","7,969.60","7,917.93","8,020.60","7,635.10","10.98K","0.71%"
"2020年3月10日","7,913.80","7,965.50","8,180.00","7,779.00","10.17K","-0.67%"
"2020年3月9日","7,967.30","8,073.80","8,214.90","7,700.00","22.56K","-1.32%"
"2020年3月8日","8,074.00","8,917.20","8,917.20","8,049.50","25.59K","-9.47%"
"2020年3月7日","8,919.00","9,180.60","9,231.10","8,884.80","4.49K","-2.85%"
"2020年3月6日","9,180.60","9,085.60","9,199.70","9,016.14","3.14K","0.99%"
"2020年3月5日","9,090.80","8,795.30","9,185.00","8,795.30","5.72K","3.44%"
"2020年3月4日","8,788.58","8,791.10","8,877.70","8,718.40","4.17K","-0.03%"
"2020年3月3日","8,791.10","8,938.50","8,940.00","8,700.00","5.32K","-1.64%"
"2020年3月2日","8,938.10","8,556.80","8,990.80","8,524.63","5.32K","4.35%"
"2020年3月1日","8,565.20","8,561.50","8,775.00","8,460.00","5.39K","0.09%"
"2020年2月29日","8,557.30","8,730.60","8,820.90","8,557.30","2.50K","-1.96%"
"2020年2月28日","8,728.00","8,826.10","8,908.30","8,455.20","7.09K","-1.11%"
"2020年2月27日","8,825.80","8,813.20","8,975.00","8,555.00","8.39K","0.14%"
"2020年2月26日","8,813.20","9,324.80","9,385.90","8,652.70","14.59K","-5.51%"
"2020年2月25日","9,327.53","9,674.02","9,686.60","9,251.40","8.49K","-3.58%"
"2020年2月24日","9,674.10","9,983.80","10,022.00","9,484.32","6.59K","-3.11%"
"2020年2月23日","9,985.00","9,663.00","10,001.00","9,660.20","7.30K","3.34%"
"2020年2月22日","9,662.40","9,693.00","9,714.00","9,565.20","1.84K","-0.32%"
"2020年2月21日","9,693.46","9,609.20","9,757.40","9,567.90","11.10K","0.89%"
"2020年2月20日","9,608.10","9,586.20","9,694.70","9,362.40","6.50K","0.17%"
"2020年2月19日","9,592.20","10,184.00","10,309.00","9,350.32","13.94K","-5.80%"
"2020年2月18日","10,183.00","9,708.00","10,275.00","9,625.90","8.25K","4.89%"
"2020年2月17日","9,708.00","9,929.70","9,963.80","9,501.54","9.30K","-2.23%"
"2020年2月16日","9,929.70","9,901.00","10,037.00","9,651.40","6.93K","0.29%"
"2020年2月15日","9,901.00","10,335.00","10,369.99","9,800.30","6.40K","-4.20%"
"2020年2月14日","10,335.00","10,222.00","10,371.00","10,101.00","4.13K","1.11%"
"2020年2月13日","10,222.00","10,338.00","10,489.00","10,080.00","8.98K","-1.13%"
"2020年2月12日","10,339.00","10,249.00","10,458.00","10,238.00","8.71K","0.90%"
"2020年2月11日","10,247.00","9,851.20","10,316.00","9,720.00","8.45K","4.03%"
"2020年2月10日","9,850.20","10,151.50","10,187.00","9,737.80","8.52K","-2.96%"
"2020年2月9日","10,151.00","9,877.30","10,161.00","9,871.10","9.64K","2.77%"
"2020年2月8日","9,877.20","9,805.20","9,920.70","9,657.80","5.53K","0.73%"
"2020年2月7日","9,805.20","9,745.00","9,859.60","9,695.50","3.70K","0.62%"
"2020年2月6日","9,744.90","9,612.00","9,860.00","9,547.00","8.58K","1.38%"
"2020年2月5日","9,612.00","9,197.50","9,731.20","9,180.20","10.77K","4.51%"
"2020年2月4日","9,197.40","9,309.20","9,359.80","9,112.50","4.07K","-1.20%"
"2020年2月3日","9,309.30","9,353.09","9,625.30","9,247.10","6.72K","-0.47%"
"2020年2月2日","9,353.10","9,408.00","9,501.00","9,175.43","6.44K","-0.61%"
"2020年2月1日","9,410.60","9,371.30","9,476.40","9,318.10","2.53K","0.46%"
"2020年1月31日","9,367.40","9,512.70","9,519.90","9,221.90","4.87K","-1.53%"
"2020年1月30日","9,512.70","9,305.10","9,550.00","9,175.70","9.02K","2.24%"
"2020年1月29日","9,304.20","9,390.90","9,442.00","9,244.40","4.60K","-0.95%"
"2020年1月28日","9,393.70","8,912.10","9,413.00","8,912.10","9.12K","5.41%"
"2020年1月27日","8,912.00","8,622.00","9,001.80","8,585.19","6.28K","3.37%"
"2020年1月26日","8,621.60","8,351.10","8,622.00","8,303.60","3.52K","3.21%"
"2020年1月25日","8,353.70","8,447.10","8,447.20","8,280.00","2.10K","-1.11%"
"2020年1月24日","8,447.10","8,403.57","8,521.81","8,247.70","3.51K","0.52%"
"2020年1月23日","8,403.50","8,668.90","8,669.30","8,296.90","5.70K","-3.01%"
"2020年1月22日","8,663.90","8,734.20","8,799.90","8,580.63","2.35K","-0.80%"
"2020年1月21日","8,734.10","8,638.20","8,782.80","8,512.20","3.25K","1.11%"
"2020年1月20日","8,638.20","8,698.60","8,741.10","8,519.60","4.11K","-0.64%"
"2020年1月19日","8,694.00","8,891.60","9,169.50","8,455.70","12.41K","-2.22%"
"2020年1月18日","8,891.50","8,873.10","8,965.00","8,794.23","3.46K","0.18%"
"2020年1月17日","8,875.40","8,719.55","8,994.90","8,674.20","9.69K","1.78%"
"2020年1月16日","8,720.60","8,810.90","8,839.90","8,579.80","5.31K","-0.99%"
"2020年1月15日","8,807.70","8,760.84","8,873.00","8,560.20","8.78K","0.37%"
"2020年1月14日","8,775.60","8,104.10","8,829.00","8,099.30","16.57K","8.41%"
"2020年1月13日","8,094.54","8,174.90","8,198.30","8,053.60","2.59K","-0.98%"
"2020年1月12日","8,174.70","8,013.63","8,174.70","7,951.70","3.21K","2.01%"
"2020年1月11日","8,013.80","8,184.30","8,271.90","7,994.60","4.25K","-1.99%"
"2020年1月10日","8,176.30","7,817.40","8,177.77","7,678.47","7.86K","4.59%"
"2020年1月9日","7,817.45","8,036.79","8,036.79","7,756.20","4.67K","-2.73%"
"2020年1月8日","8,036.80","8,158.20","8,442.00","7,882.80","11.76K","-1.39%"
"2020年1月7日","8,150.00","7,759.50","8,200.10","7,741.90","12.35K","5.05%"
"2020年1月6日","7,757.90","7,364.70","7,784.90","7,358.00","8.54K","5.34%"
"2020年1月5日","7,364.60","7,370.30","7,509.90","7,315.80","4.45K","-0.07%"
"2020年1月4日","7,369.83","7,371.80","7,422.00","7,297.70","4.27K","0.03%"
"2020年1月3日","7,367.50","6,989.43","7,437.60","6,909.30","6.68K","5.41%"
"2020年1月2日","6,989.40","7,212.70","7,225.20","6,963.00","4.85K","-3.10%"
"2020年1月1日","7,212.70","7,208.20","7,268.80","7,185.40","2.07K","0.06%"
"2019年12月31日","7,208.30","7,261.00","7,333.00","7,161.30","2.99K","-0.72%"
"2019年12月30日","7,260.90","7,413.00","7,421.60","7,217.70","4.09K","-2.12%"
"2019年12月29日","7,417.90","7,333.20","7,551.60","7,311.80","2.49K","1.14%"
"2019年12月28日","7,334.39","7,293.55","7,389.94","7,280.49","2.73K","0.65%"
"2019年12月27日","7,286.96","7,235.28","7,300.00","7,114.10","4.00K","0.75%"
"2019年12月26日","7,232.40","7,220.05","7,464.30","7,189.00","4.72K","0.17%"
"2019年12月25日","7,220.07","7,270.00","7,287.40","7,144.80","3.36K","-0.78%"
"2019年12月24日","7,276.90","7,346.20","7,444.96","7,182.90","4.25K","-0.96%"
"2019年12月23日","7,347.40","7,538.90","7,715.00","7,283.10","7.08K","-2.45%"
"2019年12月22日","7,532.00","7,166.32","7,541.30","7,159.60","3.62K","5.10%"
"2019年12月21日","7,166.40","7,213.00","7,215.10","7,145.20","2.28K","-0.65%"
"2019年12月20日","7,212.93","7,181.77","7,249.00","7,116.80","5.70K","0.43%"
"2019年12月19日","7,181.80","7,326.90","7,412.50","7,089.10","5.43K","-1.93%"
"2019年12月18日","7,323.41","6,667.07","7,480.20","6,479.40","13.75K","9.84%"
"2019年12月17日","6,667.10","6,926.60","6,972.00","6,624.30","12.66K","-3.75%"
"2019年12月16日","6,926.80","7,152.70","7,189.90","6,900.00","13.42K","-3.16%"
"2019年12月15日","7,152.70","7,100.80","7,218.55","7,046.60","3.53K","0.73%"
"2019年12月14日","7,100.80","7,283.10","7,290.50","7,038.50","3.41K","-2.50%"
"2019年12月13日","7,283.15","7,224.10","7,331.90","7,218.70","2.90K","0.82%"
"2019年12月12日","7,224.00","7,231.20","7,325.63","7,133.80","5.64K","-0.09%"
"2019年12月11日","7,230.72","7,254.70","7,296.20","7,170.10","3.12K","-0.33%"
"2019年12月10日","7,254.60","7,373.80","7,433.00","7,207.50","3.64K","-1.69%"
"2019年12月9日","7,379.52","7,563.80","7,701.10","7,309.15","6.56K","-2.45%"
"2019年12月8日","7,564.60","7,543.20","7,620.00","7,433.60","4.30K","0.28%"
"2019年12月7日","7,543.20","7,584.70","7,665.10","7,520.10","1.72K","-0.59%"
"2019年12月6日","7,588.30","7,439.90","7,648.60","7,350.10","5.71K","1.99%"
"2019年12月5日","7,440.00","7,239.30","7,522.82","7,193.70","4.79K","2.79%"
"2019年12月4日","7,238.21","7,336.90","7,887.70","7,134.13","11.72K","-1.33%"
"2019年12月3日","7,336.02","7,350.20","7,453.50","7,288.00","2.30K","-0.19%"
"2019年12月2日","7,350.26","7,450.10","7,467.30","7,209.40","4.63K","-1.34%"
"2019年12月1日","7,450.10","7,599.88","7,600.10","7,288.70","6.33K","-1.97%"
"2019年11月30日","7,599.88","7,796.50","7,849.55","7,495.00","4.97K","-2.52%"
"2019年11月29日","7,796.60","7,460.70","7,916.30","7,450.00","7.28K","4.50%"
"2019年11月28日","7,460.80","7,547.30","7,683.00","7,415.00","4.34K","-1.17%"
"2019年11月27日","7,549.30","7,198.30","7,689.00","6,880.00","13.90K","4.88%"
"2019年11月26日","7,198.30","7,162.80","7,384.71","7,061.20","5.20K","0.42%"
"2019年11月25日","7,168.00","6,965.20","7,413.57","6,619.40","18.52K","2.91%"
"2019年11月24日","6,965.30","7,352.70","7,372.00","6,922.00","8.58K","-5.27%"
"2019年11月23日","7,352.60","7,318.60","7,385.00","7,141.00","4.63K","0.40%"
"2019年11月22日","7,323.00","7,672.50","7,763.31","6,820.10","19.37K","-4.54%"
"2019年11月21日","7,671.10","8,126.40","8,155.90","7,510.07","9.89K","-5.60%"
"2019年11月20日","8,126.40","8,164.90","8,255.00","8,081.01","2.06K","-0.47%"
"2019年11月19日","8,164.90","8,219.50","8,241.90","8,055.20","3.70K","-0.66%"
"2019年11月18日","8,219.50","8,536.70","8,536.78","8,119.00","6.36K","-3.72%"
"2019年11月17日","8,537.30","8,523.40","8,662.90","8,422.02","2.84K","0.16%"
"2019年11月16日","8,523.50","8,494.80","8,553.10","8,442.70","1.53K","0.33%"
"2019年11月15日","8,495.83","8,655.50","8,798.10","8,420.20","5.18K","-1.85%"
"2019年11月14日","8,655.70","8,800.90","8,817.40","8,601.40","3.30K","-1.65%"
"2019年11月13日","8,801.10","8,830.00","8,849.30","8,730.30","1.34K","-0.33%"
"2019年11月12日","8,830.00","8,737.70","8,891.50","8,602.10","3.50K","1.06%"
"2019年11月11日","8,737.71","9,069.70","9,107.30","8,633.40","4.24K","-3.65%"
"2019年11月10日","9,068.40","8,827.10","9,156.90","8,764.00","4.64K","2.72%"
"2019年11月9日","8,828.05","8,782.32","8,891.40","8,735.90","1.96K","0.52%"
"2019年11月8日","8,782.36","9,209.20","9,252.40","8,688.10","7.86K","-4.62%"
"2019年11月7日","9,208.00","9,355.00","9,387.10","9,086.50","3.75K","-1.55%"
"2019年11月6日","9,353.00","9,334.00","9,475.00","9,278.00","3.47K","0.20%"
"2019年11月5日","9,333.90","9,440.00","9,504.10","9,200.00","3.41K","-1.14%"
"2019年11月4日","9,441.20","9,223.00","9,621.80","9,152.00","7.47K","2.37%"
"2019年11月3日","9,222.40","9,332.20","9,400.60","9,100.00","3.62K","-1.18%"
"2019年11月2日","9,332.12","9,288.40","9,429.40","9,251.84","3.66K","0.46%"
"2019年11月1日","9,289.10","9,185.60","9,332.10","9,087.40","4.09K","1.13%"
"2019年10月31日","9,185.60","9,184.40","9,460.70","8,984.80","5.67K","0.01%"
"2019年10月30日","9,184.30","9,445.50","9,446.90","9,035.00","5.05K","-2.77%"
"2019年10月29日","9,445.50","9,229.20","9,558.30","9,101.30","6.73K","2.38%"
"2019年10月28日","9,225.70","9,574.10","9,948.00","9,216.80","8.99K","-3.62%"
"2019年10月27日","9,571.80","9,270.90","9,815.60","9,121.60","11.11K","3.25%"
"2019年10月26日","9,270.90","8,679.30","10,464.10","8,662.86","32.06K","6.82%"
"2019年10月25日","8,679.10","7,453.00","8,800.00","7,426.00","17.10K","16.45%"
"2019年10月24日","7,453.00","7,493.60","7,529.00","7,372.00","5.80K","-0.54%"
"2019年10月23日","7,493.68","8,053.70","8,074.50","7,341.50","12.98K","-7.01%"
"2019年10月22日","8,058.90","8,242.20","8,332.20","8,037.10","3.85K","-2.24%"
"2019年10月21日","8,243.90","8,260.70","8,371.30","8,181.80","3.41K","-0.20%"
"2019年10月20日","8,260.60","7,993.00","8,335.60","7,922.00","4.87K","3.35%"
"2019年10月19日","7,992.90","7,987.30","8,117.00","7,927.00","3.51K","0.07%"
"2019年10月18日","7,987.20","8,092.36","8,135.10","7,860.00","5.30K","-1.30%"
"2019年10月17日","8,092.26","8,016.10","8,144.90","7,949.30","2.81K","0.95%"
"2019年10月16日","8,016.00","8,191.00","8,203.20","7,960.00","7.08K","-2.14%"
"2019年10月15日","8,191.10","8,369.96","8,433.68","8,123.60","3.28K","-2.14%"
"2019年10月14日","8,370.00","8,304.90","8,423.50","8,230.10","2.54K","0.77%"
"2019年10月13日","8,305.70","8,319.60","8,477.40","8,179.30","4.04K","-0.15%"
"2019年10月12日","8,318.29","8,278.20","8,421.00","8,272.50","1.71K","0.46%"
"2019年10月11日","8,280.00","8,595.98","8,815.25","8,253.00","6.08K","-3.68%"
"2019年10月10日","8,596.00","8,610.40","8,682.80","8,472.00","4.32K","-0.13%"
"2019年10月9日","8,607.50","8,205.00","8,717.90","8,146.56","8.39K","4.83%"
"2019年10月8日","8,211.16","8,234.60","8,362.00","8,132.80","3.47K","-0.19%"
"2019年10月7日","8,227.00","7,886.16","8,342.00","7,794.90","8.15K","4.36%"
"2019年10月6日","7,883.09","8,162.50","8,183.10","7,807.10","5.85K","-3.42%"
"2019年10月5日","8,162.50","8,170.08","8,210.74","8,040.02","3.33K","-0.09%"
"2019年10月4日","8,170.00","8,260.50","8,264.90","8,040.00","3.05K","-1.06%"
"2019年10月3日","8,257.89","8,414.88","8,440.00","8,100.70","3.72K","-1.85%"
"2019年10月2日","8,413.40","8,333.68","8,419.90","8,193.50","3.45K","0.94%"
"2019年10月1日","8,334.90","8,331.13","8,539.00","8,228.00","5.84K","0.05%"
"2019年9月30日","8,331.13","8,090.10","8,384.00","7,753.00","10.92K","2.98%"
"2019年9月29日","8,090.00","8,238.20","8,260.20","7,930.70","6.14K","-1.80%"
"2019年9月28日","8,238.60","8,215.30","8,354.69","8,047.90","5.45K","0.31%"
"2019年9月27日","8,213.40","8,105.90","8,296.50","7,906.30","7.47K","1.35%"
"2019年9月26日","8,103.60","8,475.30","8,489.90","7,800.10","15.42K","-4.38%"
"2019年9月25日","8,474.70","8,535.00","8,770.00","8,266.10","12.77K","-0.86%"
"2019年9月24日","8,547.90","9,702.60","9,788.10","8,110.10","34.87K","-11.90%"
"2019年9月23日","9,702.60","10,055.00","10,077.00","9,627.50","5.49K","-3.48%"
"2019年9月22日","10,052.00","10,012.00","10,105.00","9,881.40","2.75K","0.39%"
"2019年9月21日","10,013.00","10,197.00","10,199.00","9,958.10","2.98K","-1.81%"
"2019年9月20日","10,197.99","10,303.00","10,340.00","10,105.00","2.51K","-1.00%"
"2019年9月19日","10,301.00","10,184.97","10,417.00","9,655.00","9.77K","1.14%"
"2019年9月18日","10,185.00","10,214.08","10,278.00","10,111.00","3.34K","-0.28%"
"2019年9月17日","10,214.08","10,290.00","10,308.00","10,171.00","2.94K","-0.79%"
"2019年9月16日","10,295.00","10,321.00","10,399.00","10,100.00","5.52K","-0.26%"
"2019年9月15日","10,321.98","10,381.00","10,402.00","10,287.00","1.88K","-0.55%"
"2019年9月14日","10,379.00","10,374.00","10,478.00","10,256.00","3.16K","0.05%"
